Algorithm,Size,Time
Array,10x10,0.00034308433532714844
Heap,10x10,0.00017881393432617188
Binomial Heap,10x10,0.0004229545593261719
Fibonacci Heap,10x10,0.0002779960632324219
Array,25x25,0.004064083099365234
Heap,25x25,0.0009260177612304688
Binomial Heap,25x25,0.0013859272003173828
Fibonacci Heap,25x25,0.001058816909790039
Array,50x50,0.013184070587158203
Heap,50x50,0.002164125442504883
Binomial Heap,50x50,0.0030329227447509766
Fibonacci Heap,50x50,0.0018072128295898438
Array,100x100,0.04187607765197754
Heap,100x100,0.005789041519165039
Binomial Heap,100x100,0.0052258968353271484
Fibonacci Heap,100x100,0.003695249557495117
